,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
0,Population total,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,..
1,Population growth (annual %),1.42416743408748,1.36695707635304,1.31274418552691,1.25738273806831,1.2012941278805,1.14588099838722,1.0901968535216,1.0378620369676,0.994311623883366,0.96194826263909,0.937956737505973,0.915962656318059,0.893531057922595,0.873603191241425,0.855792022891126,0.838848282593092,0.823748231993439,0.807147162261819,0.783847578971981,..
2,Surface area (sq. km),8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,..
4,GNI Atlas method (current US$),687360261722.071,593608679520.33,555587833685.46,542636019083.71,615417800633.269,743965964942.594,912940405431.438,1177503044167.77,1462676824719.49,1614015615291.7,1890905731755.23,2188200142541.01,2463186549163.9,2575918819753.08,2454068652465.94,2078344853713.95,1840498429566.02,1802952678568.27,1915275143717.53,..
5,GNI per capita Atlas method (current US$),3930,3350,3090,2980,3340,4000,4850,6190,7620,8320,9660,11080,12360,12810,12100,10160,8930,8670,9140,..
6,GNI PPP (current international $),1540368765613.1,1590003486350.46,1662613480442.84,1716024452202.36,1867943596031.27,1989110393890.28,2139017530786.08,2338840569873.03,2497400553648.12,2519438675896.58,2720411708683,2897463027103.88,3024656029489.04,3199962919896.06,3251231997139.54,3163684993443.51,3094875614934.33,3194803975798.16,3314554681344.12,..
7,GNI per capita PPP (current international $),8810,8970,9260,9440,10150,10690,11370,12300,13010,12990,13900,14670,15180,15920,16030,15470,15010,15370,15820,..
8,Income share held by lowest 20%,..,2.5,2.6,2.6,2.9,2.9,3,3,3.2,3.2,..,3.3,3.4,3.4,3.7,3.6,3.2,3.2,..,..
9,Life expectancy at birth total (years),70.116,70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,..,..
10,Fertility rate total (births per woman),2.3,2.232,2.163,2.097,2.033,1.976,1.925,1.882,1.847,1.818,1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,..,..
11,Adolescent fertility rate (births per 1000 women ages 15-19),82.21,81.526,80.842,78.904,76.966,75.028,73.09,71.152,69.7322,68.3124,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111,..,..
12,Contraceptive prevalence any methods (% of women ages 15-49),..,..,..,..,..,..,80.3,..,..,..,..,..,..,80.2,..,..,..,..,..,..
13,Births attended by skilled health staff (% of total),98.6,98.3,98.5,98.4,98.6,98.6,97,98.6,98.8,98.9,98.9,99,99,99.1,99.1,99.2,..,..,..,..
14,Mortality rate under-5 (per 1000 live births),34.8,32.6,30.5,28.5,26.6,24.9,23.3,21.9,20.7,19.6,18.7,17.9,17.3,16.7,16.2,15.7,16.3,14.8,14.4,..
15,Prevalence of underweight weight for age (% of children under 5),..,..,3.7,..,..,..,..,2.2,..,..,..,..,..,..,..,..,..,..,..,..
16,Immunization measles (% of children ages 12-23 months),99,99,96,97,97,98,99,99,99,99,99,99,99,98,97,96,95,91,84,..
17,Primary completion rate total (% of relevant age group),..,112.22961,114.19943,109.36661,100.68465,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
18,School enrollment secondary (% gross),..,..,109.99422,101.86867,102.37103,101.29199,..,95.17,96.72012,96.66548,..,95.26338,92.99245,102.0686,100.838,100.0671,101.5363,100.8277,..,..
19,School enrollment primary and secondary (gross) gender parity index (GPI),..,..,1.01296,1.03545,1.03353,1.02885,..,1.04399,1.03873,1.04416,..,1.02593,1.02894,1.02651,1.03266,1.01545,1.01698,1.00377,..,..
20,Prevalence of HIV total (% of population ages 15-49),0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,..
21,Forest area (sq. km),5212740,5183660,5154580,5125500,5096420,5067340,5050788.125,5034235.9375,5017684.0625,5001131.875,4984580,4974740,4964900,4955060,4945220,4935380,4925540,..,..,..
22,Water productivity total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal),..,..,..,..,..,..,31.7740184945597,..,..,..,29.5382675341377,..,..,..,..,..,..,..,..,..
23,Energy use (kg of oil equivalent per capita),1072.37953767926,1076.27547394481,1090.34986670196,1094.42466968924,1141.49109780541,1156.90756762061,1184.14510219296,1238.41164142241,1294.48083319241,1240.17728453802,1358.5024160427,1367.18809766171,1413.73335709267,1461.07678089719,1495.54120710984,..,..,..,..,..
24,CO2 emissions (metric tons per capita),1.87644130676787,1.90429563967604,1.85068207469948,1.76900557081679,1.83594643060426,1.8659770576239,1.84765454216193,1.91033417515363,2.01859347637953,1.8936200243495,2.14473639509072,2.22471194448911,2.35854836426703,2.50540878760348,2.61293352087838,..,..,..,..,..
25,Electric power consumption (kWh per capita),1897.35313747888,1747.93960140896,1806.66971449756,1882.26400762918,1956.15935940865,2015.79992356084,2072.36264721709,2167.60658365478,2229.84529915118,2197.12554728151,2374.11665262872,2430.8033959668,2501.47405281669,2568.82970799499,2619.96061573831,..,..,..,..,..
26,GDP (current US$),655420645476.906,559372276081.966,507962487700.024,558319920831.979,669316654017.094,891630177251.068,1107640289615.23,1397084349956.35,1695824565983.2,1667019783585.08,2208871646202.82,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48,..
27,GDP growth (annual %),4.38794944267383,1.38989640325894,3.05346185795254,1.14082899810009,5.75996463871775,3.20213137990235,3.96198872184989,6.06987060771837,5.09419544732717,-0.125811999414864,7.52822583005563,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.30545431266852,1.06386125924512,1.11757918028799,..
28,Inflation GDP deflator (annual %),5.60606514569551,8.22509431879853,9.79811223877498,14.0910215232072,7.75206076116663,7.43122546680286,6.77427409887123,6.43903809050693,8.77855272640775,7.31348273630748,8.42333832793074,8.3185922188201,7.9431269413538,7.50454436934274,7.84674863327621,7.5661563986378,8.10000829597706,3.47281059925386,3.02544094379658,..
29,Agriculture forestry and fishing value added (% of GDP),4.75045997570861,4.80104301642181,5.47527489339298,6.1671843856504,5.66531157603221,4.65116882283132,4.37004377798394,4.41691543601929,4.56785118317928,4.47677399196415,4.11575648758173,4.34203412773382,4.1683282240444,4.50688702754023,4.32560979028385,4.31914942942436,4.89301052063879,4.63470569099687,4.36127937311958,..
30,Industry (including construction) value added (% of GDP),23.0066186321239,22.6395279130452,22.4953278200255,23.0838178175003,24.306623290035,24.172578278061,23.5440216715158,23.1253804129963,23.0852937543312,21.8785926286899,23.267977354744,23.1020509635585,22.1336473676777,21.2248139307805,20.4724592028246,19.3600439775462,18.352790438481,18.3532311195126,18.4428162061965,..
31,Exports of goods and services (% of GDP),10.1880480043795,12.37171066993,14.2305902713775,15.1807837086861,16.5457615119353,15.2438292665623,14.3743163008972,13.327675103099,13.5340005119683,10.8513711314233,10.8655847746965,11.5825126782808,11.8775390673678,11.742232845639,11.0119409152591,12.9001914177405,12.4709021006972,12.5734550095265,14.8053442461215,..
32,Imports of goods and services (% of GDP),12.4517133524146,14.564574352134,13.3877671308534,12.9596010144732,13.1324909668183,11.8429659423762,11.6673835813384,11.9649362669047,13.7235689068504,11.2546044679462,11.9065933373084,12.3518924993294,13.2367345412855,14.0437293144408,13.6734606297264,14.0534345199388,12.0710907015169,11.5710240388731,14.2767138487893,..
33,Gross capital formation (% of GDP),18.9031192683871,18.7418602950836,17.4490794834956,16.8566884007152,17.9125683422575,17.2048834771385,17.8164738964017,19.8193259705999,21.6193828366983,18.7961350502449,21.8013215651568,21.8262711070469,21.4172253653349,21.6937710091008,20.5484072031028,17.4116258632937,14.9746178719222,15.0356329179689,15.422724055032,..
34,Revenue excluding grants (% of GDP),19.5546641476175,20.5097866018968,21.460119919437,20.6973748729083,21.3622079592237,22.4238480365283,25.6877859277625,25.7507315291556,27.0091876538422,23.9755571361405,28.2927992220695,28.3873449016797,28.8879978974381,27.859066498725,26.52264688778,28.5200949461167,28.8902142221448,27.1817527990553,..,..
35,Start-up procedures to register a business (number),..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,11,11,11,11,11
36,Market capitalization of listed domestic companies (% of GDP),34.5049109393623,33.2940365411872,24.9548998340324,42.0117626558033,49.3557986369129,53.233604257693,64.1225727033392,98.0406995499448,34.9072399276626,80.2178650288198,69.9708225535385,46.9740650049287,49.7911998679477,41.2670925976505,34.3605962705362,27.2184107033655,42.2295435528768,46.4899413998779,49.0640902389512,..
37,Military expenditure (% of GDP),1.73072614713627,1.95188244532532,1.89577119915617,1.50347763554507,1.46126840890621,1.52401339252107,1.48108489489303,1.46629209992902,1.44192404201012,1.53862567601211,1.53940698128362,1.41185115924524,1.37865646470437,1.3294461087607,1.330244423168,1.36551715396161,1.35015057288696,1.41952663807017,1.47490154739588,..
38,Mobile cellular subscriptions (per 100 people),13.26627719,16.22257852,19.42823093,25.50654987,35.65363548,46.31799164,53.10093266,63.63005371,78.44665887,87.36326511,100.6214912,118.653296,124.6058852,134.8514284,138.4511833,126.0879559,118.3855945,105.014207,98.84349987,..
39,High-technology exports (% of manufactured exports),..,..,..,..,..,..,..,..,12.231996429853,14.1561829624485,12.0523401660687,10.5755774758681,11.2727771557656,10.431530300605,11.3634462941607,13.1387713190622,14.3371583972761,13.3129032206298,12.9506134545756,..
40,Merchandise trade (% of GDP),17.3570974282055,20.8571294982993,21.6870345089451,22.2245338864314,24.3697805845773,21.9998161799279,21.0939419765206,20.5638263723287,22.4267891637422,17.1966765375445,17.8123523237019,18.8442665928157,19.3078933446319,19.9202812166963,18.903018106737,20.5284124569469,18.2931856226181,18.2786286854903,22.9258813612893,..
41,Net barter terms of trade index (2000 = 100),100,99.82360984,98.47413921,97.10817968,97.95052157,98.75545886,103.9667437,106.1470351,110.0856075,107.2764694,124.4458032,134.1584343,126.330954,123.7563749,119.5613109,106.4118384,109.6415083,115.9903352,114.8827283,..
42,External debt stocks total (DOD current US$),242511685521.8,229959717402.1,231944181034.5,235907984168.4,220693592600.6,188364545589.9,194303018016.9,238444452622.6,262957236462.6,281651138432.4,352364412862.6,404046105342.1,440515187632.7,483765362833.9,556919645475.4,543397354634.3,543257223431.4,542979659110.9,557822647211.2,..
43,Total debt service (% of GNI),9.20384831435228,9.25152947256249,10.6018210791337,10.7936521321816,8.27724588435105,7.26516193193814,5.7639473648819,4.02286463954643,3.41807541728303,2.73147461650136,2.13996944118452,2.31824634367015,1.8847620438338,3.35435305647379,2.58579002886563,5.09524902814831,6.68037543851662,4.73480172069322,5.18400394630491,..
44,Net migration,..,..,0,..,..,..,..,0,..,..,..,..,15924,..,..,..,..,106000,..,..
45,Personal remittances paid (current US$),338325000,344833000,329421000,295980000,339493000,373953000,529306000,562634000,813083000,730896100,1023656774.64,1123817121.58,1063670886.79,1150189008.34,1538775897.25,1339086890.17,1385076006.47,2238140844.16,2253247430.04,..
46,Foreign direct investment net inflows (BoP current US$),32994718699.75,23225846372.251,16586600193.114,10123013670.9901,18181190855.2842,15459981604.1196,19378093068.2773,44579492463.6336,50716402711.4787,31480932200,82389933624.1,102427229784.41,92568379494.5,75211028087.44,87713987796.95,60334050667.77,73377909022.23,70257759617.82,88324149805.23,..
47,Net ODA received per capita (current US$),1.37919521181777,1.3338897490347,1.2027012515267,1.14174611339624,0.879534237709812,1.03423948955999,0.477978762692504,1.62393772995101,2.35572122704221,1.82421151243799,2.29248207463931,4.15701054181663,6.46574079664366,5.74887362283741,4.5084492056728,4.90605624877242,3.27231273412718,1.27534578333399,..,..
